"ad_unit","domain"
"/15184186/aljazeera_incontent_5","aljazeera.com"
"/15184186,5287/aljazeera_incontent_5","aljazeera.com"
"/15184186,117033896/baseball-reference_728x90_ATF","baseball-reference.com"
"/15184186/baseball-reference_728x90_atf","baseball-reference.com"
"/15184186/cardgames_sidewall_left","cardgames.io"
"/15184186,51695970/cardgames_sidewall_left","cardgames.io"
"/6254/flightawarehttps/flightaware_live","flightaware.com"
"/6254/flight.https/flightaware_live","flightaware.com"
"/6254/flightawarehttps/flightaware_live_airport_leaderboard_atf","flightaware.com"
"/6254/flight.https/flightaware_live_airport_leaderboard_atf","flightaware.com"
"/15184186/netronline_pubrecs_728x90_atf_desktop_header_1","netronline.com"
"/15184186,22597447651/netronline_pubrecs_728x90_ATF_desktop_header_1","netronline.com"
"/15184186/tagged_970x90_728x90_320x100_300x250_320x50_top","tagged.com"
"/15184186,40776096/Tagged_160x600_300x250_320x50_320x100_right","tagged.com"
"/15184186/tagged_160x600_300x250_320x50_320x100_right","tagged.com"
"/15184186/tagged_728x90_320x50_320x50_320x100_inline","tagged.com"
"/15184186/tagged_970x90_728x90_320x100_300x250_320x50_bottom","tagged.com"
"/15184186,40776096/Tagged_160x600_300x250_320x50_320x100_left","tagged.com"
"/15184186,40776096/Tagged_300x250_320x100_320x50_1","tagged.com"
"/15184186,40776096/Tagged_300x250_320x100_320x50_2","tagged.com"
"/15184186,40776096/Tagged_300x250_320x100_320x50_3","tagged.com"
"/15184186,40776096/Tagged_728x90_320x50_320x50_320x100_inline","tagged.com"
"/15184186,40776096/Tagged_970x90_728x90_320x100_300x250_320x50_bottom","tagged.com"
"/15184186,40776096/Tagged_970x90_728x90_320x100_300x250_320x50_top","tagged.com"
"/15184186/tagged_160x600_300x250_320x50_320x100_left","tagged.com"
"/15184186/tagged_300x250_320x100_320x50_1","tagged.com"
"/15184186/tagged_300x250_320x100_320x50_2","tagged.com"
"/15184186/tagged_300x250_320x100_320x50_3","tagged.com"
"/15184186/time.is_970x90_728x90_320x50_sticky","time.is"
"/15184186,119606738/time.is_970x90_728x90_320x50_sticky","time.is"
